tipo,lat,lng
Novo mobiliário,-25.44025664,-49.20692219,
Chapéu chinês,-25.43602703,-49.36713128,
Chapéu chinês,-25.43281953,-49.28283233,
Sem demarcação,-25.37302545,-49.28154487,
Placa em cano,-25.40806015,-49.30388096,
Estação tubo,-25.46505522,-49.20980638,
Sem demarcação,-25.42066278,-49.2938723,
Novo mobiliário,-25.4573293,-49.23731658,
Novo mobiliário,-25.44749041,-49.24704629,
Plataforma,-25.512502,-49.29501338,
Sem demarcação,-25.382702,-49.25711531,
Domus,-25.46122578,-49.20313329,
Sem demarcação,-25.48300595,-49.19800475,
Novo mobiliário,-25.4748727,-49.3383189,
Novo mobiliário,-25.42322319,-49.25721187,
Novo mobiliário,-25.4327539,-49.27096221,
Novo mobiliário,-25.44135659,-49.28490701,
Chapéu chinês,-25.37463429,-49.2397399,
Novo mobiliário,-25.48364755,-49.22064397,
Chapéu chinês,-25.51960866,-49.30893961,
Chapéu chinês,-25.39121711,-49.34975478,
Novo mobiliário,-25.38698,-49.22714,
Estação tubo,-25.4666389,-49.25434968,
Chapéu chinês,-25.53153981,-49.2684272,
Domus,-25.51922994,-49.29545446,
Sem demarcação,-25.58582204,-49.26742303,
Chapéu chinês,-25.49118609,-49.2842311,
Chapéu chinês,-25.46251543,-49.2943846,
Novo mobiliário,-25.44347818,-49.27014095,
Novo mobiliário,-25.41254698,-49.2312644,
Estação tubo,-25.53256288,-49.26178642,
Chapéu chinês,-25.52196567,-49.29447152,
Estação tubo,-25.44830192,-49.2853694,
Estação tubo,-25.45731212,-49.21303891,
Sem demarcação,-25.47210126,-49.22341067,
Especial Madrugueiro,-25.3792376,-49.33568224,
